"user_id","name","email","total_comments","rank_by_comments"
6,mrs. dennis schulist,karley_dach@jasper.info,5,1
8,nicholas runolfsdottir v,sherwood@rosamond.me,5,1
2,ervin howell,shanna@melissa.tv,5,1
5,chelsey dietrich,lucio_hettinger@annie.ca,5,1
3,clementine bauch,nathan@yesenia.net,5,1
7,kurtis weissnat,telly.hoeger@billy.biz,5,1
9,glenna reichert,chaim_mcdermott@dana.io,5,1
4,patricia lebsack,julianne.oconner@kory.org,5,1
10,clementina dubuque,rey.padberg@karina.biz,5,1
1,leanne graham,sincere@april.biz,5,1
